Название,Адрес,Требования,Зарплата,Ссылка
Специалист службы поддержки с техническими знаниями в Яндекс 360 (бэкенд),Москва,"Неполное высшее образование, неполный рабочий день, удалённая работа",от 15 000 руб.,https://www.superjob.ru/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-v-yandeks-360-39814939.html
Database Administrator,"Сходненская, Трикотажная, Тушинская, Москва, Походный проезд, 3с2",Полная занятость,По договорённости,https://www.superjob.ru/vakansii/database-administrator-39419132.html
Разработчик SQL,"Волгоградский проспект, Текстильщики, Кузьминки, Рязанский проспект, Выхино, Лермонтовский проспект, Жулебино, Пролетарская, Таганская, Кузнецкий мост, Москва, Волгоградский проспект","Опыт работы от 1 года, полная занятость",140 000 — 150 000 руб.,https://www.superjob.ru/vakansii/razrabotchik-sql-38284142.html
Специалист службы поддержки (с техническими знаниями),Москва,"Опыт работы не требуется, неполный рабочий день, удалённая работа",от 15 000 руб.,https://www.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37984527.html
Системный администратор UNIX,"Сходненская, Трикотажная, Тушинская, Москва, Походный проезд, 3с2","Опыт работы от 1 года, полная занятость",По договорённости,https://www.superjob.ru/vakansii/sistemnyj-administrator-unix-39418657.html
Инженер нагрузочного тестирования,"Москва, Кутузовский проспект, 32к3","Опыт работы от 1 года, высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/inzhener-nagruzochnogo-testirovaniya-39705117.html
Младший IT специалист (работа с данными),"Москва, Мясницкая улица, 18","Опыт работы от 1 года, высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/mladshij-it-specialist-39416885.html
Системный администратор,"Москва, Нагорная улица, 4А","Опыт работы от 3 лет, высшее образование, полная занятость",от 80 000 руб.,https://www.superjob.ru/vakansii/sistemnyj-administrator-38671598.html
Администратор баз данных / DBA,"Тверская, Маяковская, Новослободская, Пушкинская, Чеховская, Москва, улица Малая Дмитровка, 20","Опыт работы от 3 лет, полная занятость",По договорённости,https://www.superjob.ru/vakansii/administrator-baz-dannyh-37321580.html
Помощник DevOps Engineer,Москва,"Полная занятость, удалённая работа",от 50 000 руб.,https://www.superjob.ru/vakansii/pomoschnik-devops-engineer-39414685.html
Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России,"Сходненская, Трикотажная, Москва, Походный проезд","Среднее специальное образование, полная занятость",от 45 000 руб.,https://www.superjob.ru/vakansii/specialist-1-razryada-otdela-monitoringa-funkcionirovaniya-ais-fns-rossii-38482723.html
Системный администратор / DevOps,Москва,"Опыт работы от 1 года, полная занятость",По договорённости,https://www.superjob.ru/vakansii/sistemnyj-administrator-39499469.html
Администратор баз данных,"Москва, улица Твардовского, 8","Опыт работы от 1 года, полная занятость",от 250 000 руб.,https://www.superjob.ru/vakansii/administrator-baz-dannyh-39491040.html
Системный администратор Linux,"Москва, Ленинградский проспект, 80к37","Опыт работы от 1 года, полная занятость",150 000 руб.,https://www.superjob.ru/vakansii/sistemnyj-administrator-linux-39593415.html
Backend Engineer / Data Engineer / Vision ML Engineer,Москва,"Опыт работы от 3 лет, неполная дистанционная, удалённая работа",150 000 — 175 000 руб.,https://www.superjob.ru/vakansii/backend-engineer-39492900.html
"C++ QT Разработчик (Android, iOS)","Москва, Павелецкая, Новокузнецкая, Третьяковская","Опыт работы от 1 года, полная занятость, удалённая работа",150 000 — 170 000 руб.,https://www.superjob.ru/vakansii/c-39888002.html
Rust Developer,Москва,"Опыт работы от 1 года, полная занятость, удалённая работа",от 170 000 руб.,https://www.superjob.ru/vakansii/rust-developer-39886574.html
Системный аналитик (аналитик DWH),"Кутузовская, Москва, Поклонная, 3","Опыт работы от 1 года, высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/sistemnyj-analitik-39393617.html
Программист,"Москва, Большая Тульская улица, 15","Опыт работы от 1 года, полная занятость",от 60 000 руб.,https://www.superjob.ru/vakansii/programmist-36989456.html
Старший разработчик MS SQL + C#.net/удаленно,Москва,"Опыт работы от 6 лет, полная занятость, удалённая работа",до 210 000 руб.,https://www.superjob.ru/vakansii/starshij-razrabotchik-ms-sql-39388444.html
Аналитик,"Москва, Трубная, Цветной бульвар","Опыт работы от 1 года, высшее образование, полная занятость",95 000 — 115 000 руб.,https://www.superjob.ru/vakansii/analitik-39398148.html
"QA-специалист (Тестировщик, удаленная работа)",Москва,"Опыт работы от 3 лет, полная занятость",до 110 000 руб.,https://www.superjob.ru/vakansii/qa-specialist-39566025.html
Программист 1С,"Москва, Николоямская улица, 33с1","Опыт работы от 3 лет, высшее образование, полная занятость",от 50 000 руб.,https://www.superjob.ru/vakansii/programmist-1s-39395114.html
UIX/UI и web-дизайнер,"Курская, Москва, Покровский бульвар, 11","Опыт работы от 1 года, полная занятость",По договорённости,https://www.superjob.ru/vakansii/uix-39416832.html
Эксперт в команду противодействия кибермошенничеству,Москва,"Опыт работы от 1 года, неполное высшее образование, полная занятость",По договорённости,https://www.superjob.ru/vakansii/ekspert-v-komandu-protivodejstviya-kibermoshennichestvu-39411133.html
Ведущий сетевой инженер,"Волоколамская, Мякинино, Сходненская, Москва, Походный проезд, 3","Опыт работы от 3 лет, высшее образование, полная занятость",до 160 000 руб.,https://www.superjob.ru/vakansii/veduschij-setevoj-inzhener-39491064.html
